Census Tracts,percent_impervious_surface,percent_canopy_coverage,median_household_income,percent_with_diabetes
Tract 1.01,20.40%,48.50%,41513.00,17.50%
Tract 1.02,22.30%,42.30%,40337.00,14.40%
Tract 2.00,29.80%,42.60%,52708.00,12.20%
Tract 3.01,40.30%,27.40%,38533.00,12.40%
Tract 3.02,18.70%,48.30%,78854.00,7.400%
Tract 4.01,23.30%,34.00%,89375.00,6.500%
Tract 4.02,45.10%,20.50%,48250.00,4.200%
Tract 5.00,28.30%,34.40%,34688.00,12.90%
Tract 6.00,10.80%,62.00%,44206.00,9.100%
Tract 7.00,20.20%,49.70%,56373.00,9.600%
Tract 9.00,32.40%,34.20%,28452.00,20.50%
Tract 10.01,31.90%,29.30%,29048.00,19.20%
Tract 10.02,27.90%,37.20%,21546.00,18.70%
Tract 11.00,44.60%,14.00%,22866.00,18.20%
Tract 13.01,30.00%,34.20%,30240.00,17.20%
Tract 13.03,32.50%,27.50%,28897.00,19.30%
Tract 13.04,18.60%,43.10%,28942.00,18.60%
Tract 14.00,33.30%,28.60%,17621.00,19.90%
Tract 15.01,33.80%,28.60%,0.00,0.000%
Tract 15.02,38.50%,21.80%,29942.00,8.300%
Tract 15.03,26.00%,14.70%,0.00,0.000%
Tract 16.01,3.000%,67.00%,78773.00,15.10%
Tract 16.03,3.800%,70.20%,77417.00,13.10%
Tract 16.04,2.500%,71.60%,105888.00,12.30%
Tract 17.05,20.20%,42.40%,56646.00,13.50%
Tract 17.06,11.30%,60.10%,51206.00,7.800%
Tract 17.07,12.70%,58.10%,76761.00,10.50%
Tract 17.08,10.80%,56.40%,55729.00,19.50%
Tract 17.09,17.10%,52.00%,32648.00,20.50%
Tract 17.10,17.10%,54.00%,48266.00,14.30%
Tract 17.11,15.80%,52.50%,39144.00,14.70%
Tract 18.01,5.000%,57.80%,55945.00,17.00%
Tract 18.02,16.30%,47.10%,36956.00,17.80%
Tract 18.06,2.800%,56.60%,60521.00,15.10%
Tract 18.07,13.80%,42.90%,63081.00,16.40%
Tract 18.08,10.40%,49.70%,99643.00,12.20%
Tract 18.09,15.10%,46.60%,51847.00,12.20%
Tract 19.00,1.800%,58.80%,81979.00,13.30%
Tract 20.07,9.700%,63.00%,79000.00,12.60%
Tract 20.08,6.500%,62.60%,140417.00,6.800%
Tract 20.09,20.00%,47.50%,36841.00,21.60%
Tract 20.13,8.200%,56.70%,78788.00,13.70%
Tract 20.15,34.20%,34.30%,40267.00,10.20%
Tract 20.16,34.10%,33.40%,39405.00,9.400%
Tract 20.17,7.500%,65.90%,83125.00,8.000%
Tract 20.18,11.00%,62.20%,89488.00,7.900%
Tract 20.19,4.200%,73.70%,69191.00,6.600%
Tract 20.20,8.400%,63.10%,135784.00,8.200%
Tract 20.21,27.30%,39.70%,68049.00,9.600%
Tract 20.22,23.70%,37.60%,65922.00,9.700%
Tract 20.23,16.30%,55.60%,74750.00,8.200%
Tract 20.24,19.30%,46.20%,80984.00,8.700%
Tract 20.25,16.60%,47.40%,85616.00,13.90%
Tract 20.26,19.00%,46.30%,45132.00,16.90%
Tract 20.27,19.80%,42.60%,53538.00,11.50%
Tract 20.28,23.40%,39.50%,77954.00,9.600%
Tract 21.00,1.200%,65.00%,85064.00,12.70%
Tract 22.00,64.90%,5.100%,64837.00,6.400%
Tract 23.00,45.80%,10.80%,37589.00,17.40%
Tract 9801.00,19.30%,46.30%,0.00,0.000%